id;name
ccj72.2a;Вы учились или учитесь в ПТУ, ФЗУ, ФЗО, в котором Вы не получали общего среднегообразования? (первое)
ccj72.2a2;Вы учились или учитесь в ПТУ, ФЗУ, ФЗО, в котором Вы не получали общего среднегообразования? (второе)
ccj72.2b;Сколько лет Вы проучились в ПТУ, ФЗУ, ФЗО без среднего образования? (первое)
ccj72.2b2;Сколько лет Вы проучились в ПТУ, ФЗУ, ФЗО без среднего образования? (второе)
ccj72.2c;Получили ли диплом в ПТУ, ФЗУ, ФЗО без среднего образования? (первое)
ccj72.2c2;Получили ли диплом в ПТУ, ФЗУ, ФЗО без среднего образования? (второе)
ccj72.2e;В каком году окончили/ушли из ПТУ, ФЗУ, ФЗО без среднего образования? (первое)
ccj72.2e2;В каком году окончили/ушли из ПТУ, ФЗУ, ФЗО без среднего образования? (второе)
ccj72.2h;Вы учились или учитесь в ПТУ, ФЗУ, ФЗО без среднего образования очно? (первое)
ccj72.2h2;Вы учились или учитесь в ПТУ, ФЗУ, ФЗО без среднего образования очно? (второе)
ccj72.3a;Вы учились или учитесь в ПТУ, техническом училище или, как сейчас называется, попрограмме подготовки квалифицированных рабочих и служащих, в котором Вы получали иобщее среднее образование? (первое)
"ccj72.3a2;Вы учились или учитесь в ПТУ, техническом училище или, как сейчас называется, попрограмме подготовки квалифицированных рабочих и служащих, в котором Вы получали и
общее среднее образование? (второе)"
ccj72.3b;Сколько лет Вы проучились в ПТУ со средним образованием, техническом училище? (первое)
ccj72.3b2;Сколько лет Вы проучились в ПТУ со средним образованием, техническом училище? (второе)
ccj72.3c;Получили ли диплом в ПТУ со средним образованием, техническом училище? (первое)
ccj72.3c2;Получили ли диплом в ПТУ со средним образованием, техническом училище? (второе)
ccj72.3e;В каком году окончили/ушли из ПТУ со средним образованием, технического училища?(первое)
ccj72.3e2;В каком году окончили/ушли из ПТУ со средним образованием, технического училища?(второе)
ccj72.3h;Вы учились или учитесь в ПТУ со средним образованием, техническом училище очно?(первое)
ccj72.3h2;Вы учились или учитесь в ПТУ со средним образованием, техническом училище очно?(второе)
ccj72.4a;Вы учились или учитесь в техникуме, медицинском, музыкальном, педагогическом,художественном училище или, как сейчас называется, по программе подготовкиспециалистов среднего звена? (первый)
"ccj72.4a2;Вы учились или учитесь в техникуме, медицинском, музыкальном, педагогическом,художественном училище или, как сейчас называется, по программе подготовки
специалистов среднего звена? (второй)"
ccj72.4b;Сколько лет Вы проучились в техникуме, медицинском, музыкальном, педагогическом,художественном училище? (первый)
ccj72.4b2;Сколько лет Вы проучились в техникуме, медицинском, музыкальном, педагогическом,художественном училище? (второй)
ccj72.4c;Получили ли диплом в техникуме, медицинском, музыкальном, педагогическом,художественном училище? (первый)
ccj72.4c2;Получили ли диплом в техникуме, медицинском, музыкальном, педагогическом,художественном училище? (второй)
ccj72.4e;В каком году окончили/ушли из техникума, медицинского, музыкального, педагогического,художественного училища? (первый)
ccj72.4e2;В каком году окончили/ушли из техникума, медицинского, музыкального, педагогического,художественного училища? (второй)
ccj72.4h;Вы учились или учитесь в техникуме, училище очно? (первый)
ccj72.4h2;Вы учились или учитесь в техникуме, училище очно? (второй)
ccj72.51;Во время обучения в ВУЗе Вы (работали / работаете)?
ccj72.5a;Вы учились или учитесь в институте, университете, академии, включая магистратуру?(первый)
ccj72.5a2;Вы учились или учитесь в институте, университете, академии, включая магистратуру?(второй)
ccj72.5a3;Вы учились или учитесь в институте, университете, академии, включая магистратуру?(третий)
ccj72.5a4;Вы учились или учитесь в институте, университете, академии, включая магистратуру?(четвертый)
ccj72.5b;Сколько лет Вы проучились в институте, университете, академии, включая магистратуру?(первый)
ccj72.5b2;Сколько лет Вы проучились в институте, университете, академии, включая магистратуру?(второй)
ccj72.5b3;Сколько лет Вы проучились в институте, университете, академии, включая магистратуру?(третий)
ccj72.5b4;Сколько лет Вы проучились в институте, университете, академии, включая магистратуру?(четвертый)
ccj72.5c;Получили ли диплом в институте, университете, академии, включая магистратуру? (первый)
ccj72.5c2;Получили ли диплом в институте, университете, академии, включая магистратуру? (второй)
ccj72.5c3;Получили ли диплом в институте, университете, академии, включая магистратуру? (третий)
ccj72.5c4;Получили ли диплом в институте, университете, академии, включая магистратуру?(четвертый)
ccj72.5e;В каком году окончили/ушли из института, университета, академии, включая магистратуру?(первый)
ccj72.5e2;В каком году окончили/ушли из института, университета, академии, включая магистратуру?(второй)
ccj72.5e3;В каком году окончили/ушли из института, университета, академии, включая магистратуру?(третий)
ccj72.5e4;В каком году окончили/ушли из института, университета, академии, включая магистратуру?(четвертый)
ccj72.5h;Вы учились или учитесь в институте, университете, академии, включая магистратуру, очно?(первый)
ccj72.5h2;Вы учились или учитесь в институте, университете, академии, включая магистратуру, очно?(второй)
ccj72.5h3;Вы учились или учитесь в институте, университете, академии, включая магистратуру, очно?(третий)
ccj72.5h4;Вы учились или учитесь в институте, университете, академии, включая магистратуру, очно?(четвертый)
ccj72.5j;По какой программе Вы учились в ВУЗе? (первый)
ccj72.5j2;По какой программе Вы учились в ВУЗе? (второй)
ccj72.5j3;По какой программе Вы учились в ВУЗе? (третий)
ccj72.5j4;По какой программе Вы учились в ВУЗе? (четвертый)
ccj72.6a;Вы учились или учитесь в аспирантуре, ординатуре? (первая)
ccj72.6a2;Вы учились или учитесь в аспирантуре, ординатуре? (вторая)
ccj72.6b;Сколько лет Вы проучились в аспирантуре, ординатуре? (первая)
ccj72.6b2;Сколько лет Вы проучились в аспирантуре, ординатуре? (вторая)
ccj72.6c;Получили ли диплом об окончании аспирантуры, ординатуры? (первая)
ccj72.6c2;Получили ли диплом об окончании аспирантуры, ординатуры? (вторая)
ccj72.6e;В каком году окончили/ушли из аспирантуры, ординатуры? (первая)
ccj72.6e2;В каком году окончили/ушли из аспирантуры, ординатуры? (вторая)
ccj72.6h;Вы учились или учитесь в аспирантуре, ординатуре очно? (первая)
ccj72.6h2;Вы учились или учитесь в аспирантуре, ординатуре очно? (вторая)
ccj72121ac08;Код профессии по ISCO2008 специальности профессиональных курсов за последние 12месяцев
ccj72121ba;Эта специальность совпадает с той, по которой Вы работали к моменту поступления накурсы?
ccj72121d;За счет каких средств Вы учились на этих курсах? Можно выбрать несколько ответов
ccj72121f;Сколько всего часов Вы проучились на этих курсах?
ccj721dac08;Код профессии по ISCO2008 первой специальности профессиональных курсов
ccj721dbc08;Код профессии по ISCO2008 второй специальности профессиональных курсов
ccj721dcc08;Код профессии по ISCO2008 третьей специальности профессиональных курсов
ccj721ddc08;Код профессии по ISCO2008 четвертой специальности профессиональных курсов
ccj721dec08;Код профессии по ISCO2008 пятой специальности профессиональных курсов
ccj722dac08;Код профессии по ISCO2008 первой специальности ПТУ без среднего образования
ccj722dbc08;Код профессии по ISCO2008 второй специальности ПТУ без среднего образования
ccj723dac08;Код профессии по ISCO2008 первой специальности ПТУ со средним образованием
ccj723dbc08;Код профессии по ISCO2008 второй специальности ПТУ со средним образованием
ccj724dac08;Код профессии по ISCO2008 первой специальности техникума, училища
ccj724dbc08;Код профессии по ISCO2008 второй специальности техникума, училища
ccj725dac08;Код профессии по ISCO2008 первой специальности института, университета, академии,включая магистратуру
